CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled, Revenue ,SubscriptionDurationDays
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"2,638",365
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"2,456",365
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"2,833",365
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"1,309",365
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"2,153",365
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"1,317",365
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"2,991",365
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"1,278",365
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"1,296",365
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"1,168",365
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,"2,502",365
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,"2,855",365
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,"1,807",365
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,"1,078",366
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,"2,285",366
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,"1,960",366
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,"2,631",366
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,"2,485",366
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,"1,980",366
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,"2,443",366
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"1,728",365
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"1,360",365
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"2,787",365
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"1,143",365
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"2,996",365
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"2,040",365
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"1,873",365
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"1,312",365
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"2,258",365
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"1,921",365
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,"1,286",365
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,"2,597",365
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,"2,275",365
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,"1,019",366
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,"2,212",366
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,"2,511",366
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,"1,308",366
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,"1,925",366
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,"1,047",366
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,"2,639",366
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"1,829",365
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"1,067",365
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"1,125",365
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"2,633",365
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"2,633",365
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"2,850",365
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"1,845",365
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"2,947",365
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"2,919",365
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"1,052",365
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,"2,051",365
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,"1,800",365
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,"2,183",365
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,"1,066",366
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,"2,068",366
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,"1,917",366
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,"1,222",366
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,"2,805",366
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,"2,278",366
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,"1,180",366
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"2,251",365
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"2,147",365
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"2,601",365
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"2,810",365
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"2,292",365
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"2,537",365
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"1,904",365
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"1,500",365
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"1,518",365
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"2,980",365
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,"1,602",365
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,"1,705",365
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,"2,865",365
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,"1,299",366
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,"2,711",366
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,"1,994",366
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,"1,268",366
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,"1,118",366
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,"2,097",366
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,"2,951",366
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,"2,318",365
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,"1,693",365
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,"1,819",365
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,"2,217",365
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,"1,545",365
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,"1,358",365
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,"1,140",365
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,"2,138",365
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,"2,522",365
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,"1,602",365
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,"2,624",365
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,"1,700",365
